"source","published","source_sha256","published_sha256","change"
"technical-annex-v2/data/projections/h1_1.06.ls_1_R.rep","technical-annex-v2/data/projections/h1_1.06.ls_1_R.rep","782df0f4f4b2f146a6ea3b05440776124c5d2cd0afdd8a197607928deed3e507","782df0f4f4b2f146a6ea3b05440776124c5d2cd0afdd8a197607928deed3e507","Exact copy"
"technical-annex-v2/data/projections/h1_1.06.ls-hessian.log","technical-annex-v2/data/projections/h1_1.06.ls-hessian.log","b5e0ae34626af6038a34563e2ed94dc2485a3c2a75a9a54c217c458133bcbbe8","b5e0ae34626af6038a34563e2ed94dc2485a3c2a75a9a54c217c458133bcbbe8","Exact copy"
"technical-annex-v2/data/projections/h1_1.06.ls-model.ctl","technical-annex-v2/data/projections/h1_1.06.ls-model.ctl","6fc97ff86343bf9808a8b567d528c49dae90e4febdf1afcdafb8d7917820d697","6fc97ff86343bf9808a8b567d528c49dae90e4febdf1afcdafb8d7917820d697","Exact copy"
"technical-annex-v2/data/projections/h1_1.06.ls-start-10yr.par","technical-annex-v2/data/projections/h1_1.06.ls-start-10yr.par","671477134b4919730baff6d3dd3f0a65b0739ce1dfe56da39d175134899f49ff","671477134b4919730baff6d3dd3f0a65b0739ce1dfe56da39d175134899f49ff","Exact copy"
"technical-annex-v2/data/projections/h2_1.06.ls_1_R.rep","technical-annex-v2/data/projections/h2_1.06.ls_1_R.rep","d0feb6ed78001256257964743387b0aaa05b3171b3e38ea48cf73b0553a4ef9c","d0feb6ed78001256257964743387b0aaa05b3171b3e38ea48cf73b0553a4ef9c","Exact copy"
"technical-annex-v2/data/projections/h2_1.06.ls_2_R.rep","technical-annex-v2/data/projections/h2_1.06.ls_2_R.rep","1815ac1f4109b0e4b76e9f125c31d3d53af30ffbd4d81b2df4cead084311cc66","1815ac1f4109b0e4b76e9f125c31d3d53af30ffbd4d81b2df4cead084311cc66","Exact copy"
"technical-annex-v2/data/projections/h2_1.06.ls-hessian.log","technical-annex-v2/data/projections/h2_1.06.ls-hessian.log","436fda45c4b7b4678556d21b75f62f98a6829b34e25508cf73b366f6b2cc85a8","436fda45c4b7b4678556d21b75f62f98a6829b34e25508cf73b366f6b2cc85a8","Exact copy"
"technical-annex-v2/data/projections/h2_1.06.ls-model.ctl","technical-annex-v2/data/projections/h2_1.06.ls-model.ctl","e2c5c7d9c70b96161ffb2b68d5388c64da1129b7005c6dde824de0f479046398","e2c5c7d9c70b96161ffb2b68d5388c64da1129b7005c6dde824de0f479046398","Exact copy"
"technical-annex-v2/data/projections/h2_1.06.ls-start-10yr.par","technical-annex-v2/data/projections/h2_1.06.ls-start-10yr.par","35b0d9475f1d4f31809a1286550ed526b389f70fdaa9790bbe64b4cb89e5a2eb","35b0d9475f1d4f31809a1286550ed526b389f70fdaa9790bbe64b4cb89e5a2eb","Exact copy"
"technical-annex-v2/data/projections/html-validation.json","technical-annex-v2/data/projections/html-validation.json","97074b25147137ed131c077fbc1817468c7dabc7b02701ea4167f171b1abe624","97074b25147137ed131c077fbc1817468c7dabc7b02701ea4167f171b1abe624","Exact copy"
"technical-annex-v2/data/projections/manifest.json","technical-annex-v2/data/projections/manifest.json","d24b83bd301a3fb7bb6bad6d52ebeaea1e79e1c547b360ff9619b8e9ae3a79ed","d24b83bd301a3fb7bb6bad6d52ebeaea1e79e1c547b360ff9619b8e9ae3a79ed","Exact copy"
"technical-annex-v2/data/projections/model-validation.json","technical-annex-v2/data/projections/model-validation.json","94eb888ff78e693ea53c9ac9bf9dcaae766d24c99c76cefef5f7914f69500bb6","94eb888ff78e693ea53c9ac9bf9dcaae766d24c99c76cefef5f7914f69500bb6","Exact copy"
"technical-annex-v2/data/projections/reference-values.csv","technical-annex-v2/data/projections/reference-values.csv","0fd1d6d44a9111a8e9894689b6ad325ff132b9d812a4831b54c514df5987b447","0fd1d6d44a9111a8e9894689b6ad325ff132b9d812a4831b54c514df5987b447","Exact copy"
"technical-annex-v2/data/projections/risk-data.csv","technical-annex-v2/data/projections/risk-data.csv","a0c8a1cf48b2522f83b0967ca825e47f77243d80a94b89eea378e1ada88298be","a0c8a1cf48b2522f83b0967ca825e47f77243d80a94b89eea378e1ada88298be","Exact copy"
"technical-annex-v2/output/HCR_2022_Annex_K.pdf","technical-annex-v2/output/HCR_2022_Annex_K.pdf","f8f7d7994d0744b93aa1b7ef0060d4457c907d83440422c77e8c13b396f0c6b5","f8f7d7994d0744b93aa1b7ef0060d4457c907d83440422c77e8c13b396f0c6b5","Exact copy"
"technical-annex-v2/output/technical-annex.docx","technical-annex-v2/output/technical-annex.docx","7d88deb0f103967543c519215cc80866cd3040b211e0139bf2f915a00f230c73","7d88deb0f103967543c519215cc80866cd3040b211e0139bf2f915a00f230c73","Exact copy"
"technical-annex-v2/output/technical-annex.html","technical-annex-v2/output/technical-annex.html","aa302dc1eb336105a745cc7e83c330dad3e6997f8dda04f9a513779d9bc548e2","f312de52b38f4ab23a2d422467c9eab439c26f245ded88ab85a15f2ebd1b3b43","Wiki navigation added; original document preserved"
"technical-annex-v2/output/technical-annex.pdf","technical-annex-v2/output/technical-annex.pdf","d602e9c9a1fce2d2873dbd85e7e1f0a8ece6515dbb85952aca2a06af8d218799","d602e9c9a1fce2d2873dbd85e7e1f0a8ece6515dbb85952aca2a06af8d218799","Exact copy"
"technical-annex-v2/output/technology-transfer.docx","technical-annex-v2/output/technology-transfer.docx","32d6f8f19a704f6bde9aec899ab2ad2d3d377580631d4e7593f405f5fe00aacc","32d6f8f19a704f6bde9aec899ab2ad2d3d377580631d4e7593f405f5fe00aacc","Exact copy"
"technical-annex-v2/output/technology-transfer.html","technical-annex-v2/output/technology-transfer.html","efd2ef11b1dafa1db4e50baa76cc96931eb6ed2d3beb7af2eb7c70f8daaa7ac1","d8ccf270a09835af5f4a7ceae144fb524a03d098d3665c91454af787ef124a2a","Wiki navigation added; original document preserved"
"technical-annex-v2/output/technology-transfer.pdf","technical-annex-v2/output/technology-transfer.pdf","d771d63d69c27da9028b4f09466baa0fc0203b109eaf01fed249ff3c50655d98","d771d63d69c27da9028b4f09466baa0fc0203b109eaf01fed249ff3c50655d98","Exact copy"
